,query_coords,latitude,longitude,formatted_address,metro_area_name,metro_area_code,metro_area_type,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacificislander_percent,native_percent
20,"41.5967,-83.0864",41.602816,-83.080109,"7600 Sand Beach Rd, Oak Harbor, OH 43449","Sandusky, OH",41780,metropolitan,39,39123,050800,1003,391230508001003,920.0,0.36,159200.0,64844.0,59.3,549.0,0.596,0.404,0.902,0.098,0.958,0.0,0.0,0.0,0.0
21,"35.6333,-78.955",35.649457,-78.968803,"US-1, Apex, NC 27502","Raleigh-Cary, NC",39580,metropolitan,37,37183,053428,1060,371830534281060,844.0,1.0,645300.0,196452.0,23.8,3128.0,0.395,0.605,0.915,0.085,0.856,0.055,0.021,0.0,0.0
22,"35.4325,-80.9483",35.432308,-80.948533,"12700 Hagers Ferry Rd, Huntersville, NC 28078","Charlotte-Concord-Gastonia, NC-SC",16740,metropolitan,37,37119,006220,1014,371190062201014,742.0,0.894,761500.0,131010.0,54.9,1424.0,0.469,0.531,0.967,0.033,0.874,0.0,0.033,0.0,0.0
23,"33.9583,-78.0103",33.958782,-78.009959,"8470 River Rd, Southport, NC 28461","Wilmington, NC",48900,metropolitan,37,37019,020306,1009,370190203061009,459.0,0.769,403700.0,68875.0,62.8,729.0,0.377,0.623,0.992,0.008,0.797,0.129,0.0,0.0,0.0
24,"43.5208,-76.4069",43.521247,-76.404261,"348 Lake Rd, Oswego, NY 13126","Syracuse, NY",45060,metropolitan,36,36075,021504,1008,360750215041008,440.0,0.698,91400.0,54554.0,38.5,604.0,0.374,0.626,0.993,0.007,0.973,0.0,0.027,0.0,0.0
25,"41.2697,-73.9522",41.265853,-73.947092,"423 Broadway, Verplanck, NY 10596","New York-Newark-Jersey City, NY-NJ",35620,metropolitan,36,36119,014000,1006,361190140001006,596.0,0.963,514900.0,135811.0,46.0,1456.0,0.442,0.558,0.878,0.122,0.725,0.135,0.02,0.0,0.0
26,"43.2778,-77.31",43.272625,-77.309995,"1491 Lake Rd, Ontario, NY 14519","Rochester, NY",40380,metropolitan,36,36117,020103,1013,361170201031013,1099.0,0.975,286800.0,111875.0,49.4,2732.0,0.476,0.524,0.977,0.023,0.954,0.024,0.0,0.0,0.0
27,"43.5233,-76.3983",43.521832,-76.395782,"268 Lake Rd, Oswego, NY 13126","Syracuse, NY",45060,metropolitan,36,36075,021504,1002,360750215041002,440.0,0.698,91400.0,54554.0,38.5,604.0,0.374,0.626,0.993,0.007,0.973,0.0,0.027,0.0,0.0
28,"39.8147,-74.205",39.815159,-74.204636,"804 S Main St, Forked River, NJ 08731","New York-Newark-Jersey City, NY-NJ",35620,metropolitan,34,34029,732004,1065,340297320041065,944.0,0.912,318300.0,81943.0,49.0,1905.0,0.431,0.569,0.876,0.124,0.978,0.0,0.0,0.0,0.0
29,"39.4678,-75.5381",39.4678,-75.5381,"Port Penn, DE 19731","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,metropolitan,34,34033,022201,1023,340330222011023,,,,,,,,,,,,,,,
30,"42.8989,-70.8508",42.89902,-70.849848,"626 Lafayette Rd, Seabrook, NH 03874","Boston-Cambridge-Newton, MA-NH",14460,metropolitan,33,33015,063003,2001,330150630032001,427.0,1.0,360000.0,56995.0,38.3,1016.0,0.535,0.465,1.0,0.0,1.0,0.0,0.0,0.0,0.0
31,"41.5203,-96.077222",41.512401,-96.082135,"9201 US-75, Blair, NE 68008","Omaha, NE-IA",36540,metropolitan,31,31177,050202,1002,311770502021002,601.0,0.975,367100.0,124352.0,42.6,1528.0,0.531,0.469,0.955,0.045,0.95,0.0,0.0,0.0,0.0
32,"38.761667,-91.78",38.761848,-91.797294,"8056 State Rd Cc, Steedman, MO 65077","Jefferson City, MO",27620,metropolitan,29,29027,070200,3100,290270702003100,628.0,0.559,177400.0,61382.0,45.7,753.0,0.535,0.465,1.0,0.0,0.931,0.0,0.0,0.0,0.025
33,"44.6217,-92.6331",44.617336,-92.639613,"5200 Lock And Dam Rd, Welch, MN 55089","Red Wing, MN",39860,micropolitan,27,27049,080202,3116,270490802023116,536.0,0.95,205900.0,49280.0,44.8,1062.0,0.462,0.538,0.914,0.086,0.728,0.0,0.004,0.0,0.232
34,"45.3336,-93.8492",45.334055,-93.849097,"2807 County Road 75 W, Monticello, MN 55362","Minneapolis-St. Paul-Bloomington, MN-WI",33460,metropolitan,27,27171,100203,1009,271711002031009,197.0,1.0,321800.0,86495.0,33.9,616.0,0.583,0.417,1.0,0.0,0.998,0.002,0.0,0.0,0.0
35,"41.9628,-83.2575",41.962229,-83.259565,"6400 N Dixie Hwy, Newport, MI 48166","Monroe, MI",33780,metropolitan,26,26115,831202,3003,261158312023003,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"41.975556,-86.565278",41.970386,-86.568843,"4685 Livingston Rd, Bridgman, MI 49106","Niles, MI",35660,metropolitan,26,26021,011101,1007,260210111011007,660.0,0.314,420600.0,117813.0,48.8,534.0,0.515,0.485,1.0,0.0,0.963,0.0,0.0,0.0,0.0
37,"41.945,-70.5783",41.944183,-70.578501,"600 Rocky Hill Rd, Plymouth, MA 02360","Boston-Cambridge-Newton, MA-NH",14460,metropolitan,25,25023,530700,1009,250235307001009,939.0,0.711,446900.0,97844.0,73.1,1262.0,0.433,0.567,1.0,0.0,0.998,0.0,0.0,0.0,0.0
38,"38.4319,-76.4422",38.432278,-76.44594,"500 Camp Convoy Rd, Lusby, MD 20657","Lexington Park, MD",30500,metropolitan,24,24009,861100,1055,240098611001055,1788.0,0.857,387400.0,132768.0,39.0,4491.0,0.53,0.47,0.992,0.008,0.882,0.026,0.038,0.0,0.0
39,"29.9953,-90.4711",29.996466,-90.470888,"17405 River Rd, Killona, LA 70057","New Orleans-Metairie, LA",35380,metropolitan,22,22089,062700,2049,220890627002049,229.0,0.515,181800.0,-666666666.0,40.7,548.0,0.708,0.292,0.942,0.058,0.266,0.717,0.0,0.0,0.0
40,"30.756667,-91.333333",30.758735,-91.331454,"3947 Rbs Access Rd, Saint Francisville, LA 70775","Baton Rouge, LA",12940,metropolitan,22,22125,951803,1030,221259518031030,220.0,0.641,778100.0,250001.0,38.9,408.0,0.537,0.463,1.0,0.0,1.0,0.0,0.0,0.0,0.0
