,Site,State,Storage,Type,Dry_Assy,Dry_IU,Casks,Pool_Assy,Pool_IU,Site_Assy,Site_IU,Urban_Rural,query_coords,latitude,longitude,formatted_address,state_abbrev,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacific_percent,native_percent,missing_race,county_data
17,Peach Bottom,Pennsylvania,Dry/Wet,NPP,7324,1322.42,104,5478,992.6,12802,2315.02,Rural,"39.7583,-76.2681",39.760864,-76.266887,"1848 Lay Rd, Drumore, PA 17518",PA,42,42071,14502,2061,420710000000000.0,398,0.99,313700,88088,39.5,1167,0.54,0.46,1,0,0.95,0.01,0,0,0,0.04,0
18,Limerick,Pennsylvania,Dry/Wet,NPP,3889,686.45,61,6166,1118.79,10055,1805.24,Urban,"40.2267,-75.5872",40.225447,-75.585638,"3146 Sanatoga Rd, Pottstown, PA 19464",PA,42,42091,208603,4011,420912000000000.0,8459,0.96,420800,118220,42.4,20718,0.47,0.53,0.97,0.03,0.88,0.01,0.06,0,0,0.05,1
19,Beaver Valley,Pennsylvania,Dry/Wet,NPP,740,342.16,20,2374,1096.19,3114,1438.35,Rural,"40.6233,-80.4306",40.624567,-80.429068,"990004A Railroad Xing, Shippingport, PA 15077",PA,42,42007,602900,1003,420076000000000.0,622,0.93,194900,87679,46.7,1419,0.53,0.47,0.99,0.01,0.99,0,0,0,0,0.01,0
20,Davis-Besse,Ohio,Dry/Wet,NPP,496,238.02,15,1014,481.96,1510,719.98,Rural,"41.5967,-83.0864",41.602816,-83.080109,"7600 Sand Beach Rd, Oak Harbor, OH 43449",OH,39,39123,50800,1003,391231000000000.0,920,0.36,159200,64844,59.3,549,0.6,0.4,0.9,0.1,0.96,0,0,0,0,0.04,0
21,McGuire,North Carolina,Dry/Wet,NPP,2287,1023.87,73,2002,910.7,4289,1934.57,Mixed,"35.4325,-80.9483",35.432308,-80.948533,"12700 Hagers Ferry Rd, Huntersville, NC 28078",NC,37,37119,6220,1014,371190000000000.0,742,0.89,761500,131010,54.9,1424,0.47,0.53,0.97,0.03,0.87,0,0.03,0,0,0.1,0
22,Brunswick,North Carolina,Dry/Wet,NPP,3172,561.35,52,2146,470.57,5318,1031.92,Mixed,"33.9583,-78.0103",33.958782,-78.009959,"8470 River Rd, Southport, NC 28461",NC,37,37019,20306,1009,370190000000000.0,459,0.77,403700,68875,62.8,729,0.38,0.62,0.99,0.01,0.8,0.13,0,0,0,0.07,0
23,Nine Mile Point,New York,Dry/Wet,NPP,3330,588.36,50,5706,1019.38,9036,1607.74,Mixed,"43.5208,-76.4069",43.521247,-76.404261,"348 Lake Rd, Oswego, NY 13126",NY,36,36075,21504,1008,360750000000000.0,440,0.7,91400,54554,38.5,604,0.37,0.63,0.99,0.01,0.97,0,0.03,0,0,0,0
24,Nine Mile Point,New York,Dry/Wet,NPP,3330,588.36,50,5706,1019.38,9036,1607.74,Mixed,"43.5233,-76.3983",43.521832,-76.395782,"268 Lake Rd, Oswego, NY 13126",NY,36,36075,21504,1002,360750000000000.0,440,0.7,91400,54554,38.5,604,0.37,0.63,0.99,0.01,0.97,0,0.03,0,0,0,0
25,Nine Mile Point,New York,Dry/Wet,NPP,3330,588.36,50,5706,1019.38,9036,1607.74,Mixed,"43.52,-112.5986",43.52,-112.5986,"Atomic City, ID 83215",ID,16,16011,950300,1014,160120000000000.0,377,0.81,267600,64741,35.2,831,0.53,0.47,0.92,0.08,0.92,0,0,0,0,0.08,0
26,Indian Point,New York,Dry/Wet,NPP,2443,1070.01,77,1558,706.61,4001,1776.62,Mixed,"41.2697,-73.9522",41.265853,-73.947092,"423 Broadway, Verplanck, NY 10596",NY,36,36119,14000,1006,361190000000000.0,596,0.96,514900,135811,46,1456,0.44,0.56,0.88,0.12,0.73,0.14,0.02,0,0,0.11,0
27,FitzPatrick,New York,Dry/Wet,NPP,2176,389.12,32,2428,448.87,4604,837.99,Mixed,"43.5208,-76.4069",43.521247,-76.404261,"348 Lake Rd, Oswego, NY 13126",NY,36,36075,21504,1008,360750000000000.0,440,0.7,91400,54554,38.5,604,0.37,0.63,0.99,0.01,0.97,0,0.03,0,0,0,0
28,FitzPatrick,New York,Dry/Wet,NPP,2176,389.12,32,2428,448.87,4604,837.99,Mixed,"43.5233,-76.3983",43.521832,-76.395782,"268 Lake Rd, Oswego, NY 13126",NY,36,36075,21504,1002,360750000000000.0,440,0.7,91400,54554,38.5,604,0.37,0.63,0.99,0.01,0.97,0,0.03,0,0,0,0
29,FitzPatrick,New York,Dry/Wet,NPP,2176,389.12,32,2428,448.87,4604,837.99,Mixed,"43.52,-112.5986",43.52,-112.5986,"Atomic City, ID 83215",ID,16,16011,950300,1014,160120000000000.0,377,0.81,267600,64741,35.2,831,0.53,0.47,0.92,0.08,0.92,0,0,0,0,0.08,0
30,Hope Creek/Salem,New Jersey,Dry/Wet,NPP,3752,1078.17,79,5325,1605.75,9077,2683.92,Missing,"39.4678,-75.5381",39.4678,-75.5381,"Port Penn, DE 19731",NJ,34,34033,22201,1023,340330000000000.0,,1,388500,95287,66.3,477,0.42,0.58,1,0,1,0,0,0,0,0,0
31,Seabrook,New Hampshire,Dry/Wet,NPP,960,439.52,30,727,332.55,1687,772.07,Mixed,"42.8989,-70.8508",42.89902,-70.849848,"626 Lafayette Rd, Seabrook, NH 03874",NH,33,33015,63003,2001,330151000000000.0,427,1,360000,56995,38.3,1016,0.54,0.47,1,0,1,0,0,0,0,0,0
32,Cooper,Nebraska,Dry/Wet,NPP,1830,329.17,30,1626,296.59,3456,625.76,Rural,"40.3619,-95.6414",40.3619,-95.6414,64899 727th Rd,NE,31,31127,968100,3068,311280000000000.0,505,80865,207700,42079,43.5,1251,0.54,0.46,0.99,0.01,0.95,0,0,0,0.01,0.04,0
33,Callaway,Missouri,Dry/Wet,NPP,1110,465.82,30,1083,461.94,2193,927.76,Rural,"38.761667,-91.78",38.761848,-91.797294,"8056 State Rd Cc, Steedman, MO 65077",MO,29,29027,70200,3100,290271000000000.0,628,0.56,177400,61382,45.7,753,0.54,0.47,1,0,0.93,0,0,0,0.03,0.04,0
34,Grand Gulf,Mississippi,Dry/Wet,NPP,2992,524.73,44,3260,591.65,6252,1116.38,Rural,"32.0072,-91.0478 ",32.0072,-91.0478,6097 Bald Hill Rd,MS,28,28021,950100,3045,280220000000000.0,273,24659,134100,15104,43.3,714,0.54,0.46,1,0,0.19,0.71,0,0,0,0.1,0
35,Prairie Island,Minnesota,Dry/Wet,NPP,2000,735.16,50,1087,412.92,3087,1148.08,Mixed,"44.6217,-92.6331",44.617336,-92.639613,"5200 Lock And Dam Rd, Welch, MN 55089",MN,27,27049,80202,3116,270491000000000.0,536,0.95,205900,49280,44.8,1062,0.46,0.54,0.91,0.09,0.73,0,0,0,0.23,0.04,0
36,Monticello,Minnesota,Dry/Wet,NPP,1830,317.17,30,1052,183.98,2882,501.15,Mixed,"45.3336,-93.8492",45.334055,-93.849097,"2807 County Road 75 W, Monticello, MN 55362",MN,27,27171,100203,1009,271711000000000.0,197,1,321800,86495,33.9,616,0.58,0.42,1,0,1,0,0,0,0,0,0
37,Palisades,Michigan,Dry/Wet,NPP,1355,552.69,49,698,297.79,2053,850.48,Mixed,"42.3228,-86.3144",42.3228,-86.3144,27780 Blue Star Hwy,MI,26,26159,10600,2001,261590000000000.0,335,29628,182800,24616,38.3,1055,0.5,0.51,0.72,0.28,0.43,0.51,0,0,0,0.06,0
38,Fermi,Michigan,Dry/Wet,NPP,1564,273.96,23,2648,471.77,4212,745.73,Mixed,"41.9628,-83.2575",41.962229,-83.259565,"6400 N Dixie Hwy, Newport, MI 48166",MI,26,26115,831202,3003,261158000000000.0,9623,0.92,193100,65085,40.2,21626,0.52,0.48,0.95,0.05,0.89,0.02,0,0,0,0.09,1
39,Pilgrim,Massachusetts,Dry/Wet,NPP,4116,734.82,62,0,0,4116,734.82,Mixed,"41.945,-70.5783",41.944183,-70.578501,"600 Rocky Hill Rd, Plymouth, MA 02360",MA,25,25023,530700,1009,250235000000000.0,939,0.71,446900,97844,73.1,1262,0.43,0.57,1,0,1,0,0,0,0,0,0
40,Calvert Cliffs,Maryland,Dry/Wet,NPP,2846,1105.76,100,1411,570.8,4257,1676.56,Mixed,"38.4319,-76.4422",38.432278,-76.44594,"500 Camp Convoy Rd, Lusby, MD 20657",MD,24,24009,861100,1055,240099000000000.0,1788,0.86,387400,132768,39,4491,0.53,0.47,0.99,0.01,0.88,0.03,0.04,0,0,0.05,0
41,Waterford,Louisiana,Dry/Wet,NPP,992,415.14,31,1254,533.11,2246,948.25,Mixed,"29.9953,-90.4711",29.996466,-90.470888,"17405 River Rd, Killona, LA 70057",LA,22,22089,62700,2049,220891000000000.0,229,0.52,181800,68714,40.7,548,0.71,0.29,0.94,0.06,0.27,0.72,0,0,0,0.01,0
42,River Bend,Louisiana,Dry/Wet,NPP,2516,446.74,37,2056,369.1,4572,815.84,Rural,"30.756667,-91.333333",30.758735,-91.331454,"3947 Rbs Access Rd, Saint Francisville, LA 70775",LA,22,22125,951803,1030,221260000000000.0,220,0.64,778100,250001,38.9,408,0.54,0.46,1,0,1,0,0,0,0,0,0
43,Wolf Creek,Kansas,Wet,NPP,185,84.39,5,1827,838.63,2012,923.02,Rural,"38.2389,-95.6889 ",38.2389,-95.6889,1703 15th Rd SE,KS,20,20031,966100,2193,200320000000000.0,709,80417,144000,47568,51.1,1481,0.52,0.48,1,0,0.96,0,0.02,0,0,0.02,0
44,Duane Arnold,Iowa,Dry/Wet,NPP,3648,662.64,60,0,0,3648,662.64,Mixed,"42.1006,-91.7772",42.100737,-91.777257,"3277 Daec Rd, Palo, IA 52324",IA,19,19113,10600,1033,191130000000000.0,878,0.91,346800,86023,49.4,2211,0.53,0.47,1,0,0.95,0,0.01,0,0,0.04,0
45,Zion,Illinois,Dry,NPP,2226,1019.41,61,-,-,2226,1019.41,Mixed,"42.4461,-87.8028",42.449721,-87.804671,"199 Shiloh Blvd, Zion, IL 60099",IL,17,17097,860104,2054,170979000000000.0,559,0.96,147200,61667,51.9,953,0.5,0.5,0.97,0.03,0.95,0.02,0,0,0,0.03,0
46,Quad Cities,Illinois,Dry/Wet,NPP,4692,831.74,69,6267,1108.26,10959,1940,Rural,"41.72,-87.9783",41.727776,-87.983629,"I-55, Joliet, IL 60436",IL,17,17043,845803,1005,170438000000000.0,812,0.87,396900,122566,55.5,1812,0.55,0.45,0.97,0.04,0.95,0,0.04,0,0,0.01,0
47,Quad Cities,Illinois,Dry/Wet,NPP,4692,831.74,69,6267,1108.26,10959,1940,Rural,"41.7264,-90.31",41.728535,-90.309811,"22500 206th Ave N, Cordova, IL 61242",IL,17,17161,20103,1006,171610000000000.0,423,0.93,219000,82500,50.8,848,0.53,0.47,0.98,0.02,0.96,0,0.02,0,0,0.02,0
48,La Salle,Illinois,Dry/Wet,NPP,,,,,,,,Mixed,"41.2436,-88.2292",41.245833,-88.234673,"35132 State Rte 53, Braceville, IL 60407",IL,17,17197,884004,2020,171979000000000.0,720,0.97,218200,79865,52.3,1692,0.56,0.44,0.97,0.03,0.98,0,0,0,0,0.02,0
49,Dresden,Illinois,Dry/Wet,NPP,5365,940.8,78,5519,972.86,11884,1913.66,Mixed,"41.3894,-88.2533",41.392678,-88.25119,"26960 S River Bluff Rd, Minooka, IL 60447",IL,17,17063,103,4002,170630000000000.0,603,1,359700,117188,36.2,1794,0.49,0.51,0.85,0.15,0.99,0,0,0,0.01,0,0
50,Dresden,Illinois,Dry/Wet,NPP,5365,940.8,78,5519,972.86,11884,1913.66,Mixed,"41.3897,-88.2681",41.388328,-88.26856,"6969 N Dresden Rd, Morris, IL 60450",IL,17,17063,700,1013,170630000000000.0,769,0.75,430900,139306,45.4,1340,0.53,0.47,0.95,0.05,1,0,0,0,0,0,0
51,Clinton,Illinois,Wet,NPP,1602,291,18,2706,492.48,4308,783.48,Mixed,"40.1722,-88.835 ",40.1722,-88.835,8401 Power Rd,IL,17,17039,971500,2071,170400000000000.0,345,88173,230300,36597,37.8,942,0.57,0.43,1,0,1,0,0,0,0,0,0
52,Braidwood,Illinois,Dry/Wet,NPP,1312,552.14,41,2580,1083.41,3892,1635.55,Mixed,"41.2456,-88.6692",41.238185,-88.667306,"2567 N 21st Rd, Marseilles, IL 61341",IL,17,17099,963700,4116,171000000000000.0,420,0.99,265500,91075,41.7,1019,0.52,0.48,1,0,1,0,0,0,0,0,0
53,Hatch,Georgia,Dry/Wet,NPP,6392,1147.39,94,3863,702.64,10255,1850.03,Rural,"31.9342,-82.3439 ",31.9342,-82.3439,US-1,GA,13,13001,950100,1023,130020000000000.0,313,52344,78100,34919,44.5,780,0.55,0.45,0.88,0.12,0.96,0.04,0,0,0,0,0
54,Saint Lucie,Florida,Dry/Wet,NPP,1920,753.02,60,2434,944.89,4354,1697.91,Urban,"27.3486,-80.2464",27.347842,-80.246193,"6501 S Ocean Dr, Jensen Beach, FL 34957",FL,12,12111,381702,1000,121114000000000.0,463,0.41,263400,58295,67.8,298,0.43,0.57,1,0,0.95,0,0,0,0,0.05,0
55,Crystal River,Florida,Wet,NPP,1243,582.24,39,0,0,1243,582.24,Mixed,"28.9575,-82.5633",28.957199,-82.563287,"6538 N Oakfield Pt, Dunnellon, FL 34433",FL,12,12017,450308,3006,120175000000000.0,1219,0.9,343000,94353,54.4,2992,0.47,0.53,0.96,0.04,0.96,0.03,0.02,0,0,-0.01,0
56,Millstone,Connecticut,Dry/Wet,NPP,1568,643.58,49,2071,902.01,3639,1545.59,Mixed,"41.3119,-72.1686",41.314931,-72.159454,"11 Gun Shot Rd, Waterford, CT 06385",CT,9,9180,693300,3041,9.18069E+13,858,0.76,326400,94141,57.3,1410,0.48,0.52,0.98,0.02,0.93,0,0.04,0,0,0.03,0
57,San Onofre,California,Wet,NPP,3855,1609.36,123,0,0,3855,1609.36,Mixed,"33.3689,-117.555",33.370736,-117.552793,"I-5, San Clemente, CA 92672",CA,6,6073,18700,1266,6.07302E+13,7856,0.89,,62998,21.6,40481,0.69,0.31,0.66,0.34,0.7,0.13,0.06,0.01,0.02,0.08,1
58,Diablo Canyon,California,Dry/Wet,NPP,1856,809.13,58,2005,847.92,3861,1657.05,Mixed,"35.2108,-120.8561",35.211882,-120.854642,"3886 Diablo Canyon Rd, San Luis Obispo, CA 93405",CA,6,6079,11600,2049,6.07901E+13,596,0.88,1958300,162375,53.8,1238,0.59,0.41,0.98,0.02,0.99,0,0,0,0,0.01,0
59,Arkansas Nuclear,Arkansas,Dry/Wet,NPP,2752,1209.59,102,1336,609.57,4088,1819.16,Rural,"35.3103,-93.2314",35.310484,-93.240532,"1238 Flatwood Rd, London, AR 72847",AR,5,5115,950800,1095,5.11595E+13,1114,0.9,205500,67063,47.6,2412,0.47,0.53,0.97,0.03,0.97,0,0.01,0,0,0.02,0
