index,Urban_Rural,occupied_percent,house_value_median,household_income_median,age_median,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacific_percent,native_percent,missing_race,county_data,median_family_percent,site
55,Mixed,0.9,343000,94353,54.4,0.47,0.53,0.96,0.04,0.96,0.03,0.02,0,0,-0.01,0,167.72,1
56,Mixed,0.76,326400,94141,57.3,0.48,0.52,0.98,0.02,0.93,0,0.04,0,0,0.03,0,110.51,1
57,Mixed,0.89,,62998,21.6,0.69,0.31,0.66,0.34,0.7,0.13,0.06,0.01,0.02,0.08,1,55.42,1
58,Mixed,0.88,1958300,162375,53.8,0.59,0.41,0.98,0.02,0.99,0,0,0,0,0.01,0,159.81,1
59,Rural,0.9,205500,67063,47.6,0.47,0.53,0.97,0.03,0.97,0,0.01,0,0,0.02,0,136.9,1
60,Rural,0.95,260000,68843,35.4,0.55,0.45,0.67,0.33,0.96,0.01,0,0,0.02,0.01,0,82.37,1
61,Mixed,0.9,167900,72500,48.6,0.56,0.44,1,0,0.9,0.01,0,0,0,0.09,0,99.91,1
62,Mixed,0.99,358100,77321,60.6,0.48,0.52,0.96,0.04,0.96,0,0,0,0.02,0.02,0,83.33,1
63,Mixed,86923,240800,67099,54.3,0.55,0.45,0.99,0.01,0.94,0,0.02,0,0,0.04,0,134.05,1
64,Rural,0.79,269300,67981,50.7,0.52,0.48,0.98,0.02,0.93,0,0,0,0,0.07,0,82.93,1
65,Rural,104314,540600,39221,46.6,0.65,0.35,1,0,0.98,0,0,0,0.01,0.01,0,108.31,1
66,Mixed,1,359700,117188,36.2,0.49,0.51,0.85,0.15,0.99,0,0,0,0.01,0,0,101.51,1
67,Mixed,0.75,430900,139306,45.4,0.53,0.47,0.95,0.05,1,0,0,0,0,0,0,85.56,1
68,Mixed,0.83,349100,115807,50,0.46,0.54,0.95,0.05,0.91,0.01,0.03,0,0,0.05,0,113.91,1
69,Mixed,0.79,341200,403700,29.3,0.47,0.53,1,0,0.9,0.1,0,0,0,0,0,114.87,1
71,Rural,0.97,242700,98317,46.5,0.54,0.46,0.99,0.01,0.9,0.02,0.01,0,0,0.07,1,0,1
73,Rural,0.7,91400,54554,38.5,0.37,0.63,0.99,0.01,0.97,0,0.03,0,0,0,0,77.68,1
74,Rural,0.7,91400,54554,38.5,0.37,0.63,0.99,0.01,0.97,0,0.03,0,0,0,0,77.68,1
75,Rural,0.81,267600,64741,35.2,0.53,0.47,0.92,0.08,0.92,0,0,0,0,0.08,0,90.62,1
