Site,State,Storage,Type,Latitude,Longitude,Dry_Assy,Dry_IU,Casks,Pool_Assy,Pool_IU,Site_Assy,Site_IU,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","HMDA/CRA collection year","MSA/MD Code","FIPS state code","FIPS county code","Census tract","Principal city?","Small county code","Small county description","Split tract code","Split tract description","Demographic data code","Demographic data description","Urban/rural code","Urban/rural description","MSA/MD median family income","MSA/MD median household income","Tract median family income as a percentage of the MSA/MD median family income","FFIEC Estimated MSA/MD median family income","Income indicator","CRA poverty criteria?","CRA unemployment criteria?","CRA distressed criteria?","CRA remote rural (low density) criteria?","Previous year CRA distressed criteria?","Previous year CRA underserved criterion?","Meets at least one of current or previous year's CRA distressed/underserved tract criteria?"
"River Bend",Louisiana,Dry/Wet,NPP,30.756667,-91.333333,2516,446.74,37,2056,369.1,4572,815.84,30.758735,-91.331454,0.97,rooftop,"3947 Rbs Access Rd",,"Saint Francisville, LA 70775",3947,"Rbs Access Rd",,,"Saint Francisville",LA,"West Feliciana Parish",70775,US,"West Feliciana",2024,12940,22,125,951803,No,S,"Small County",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,77948,60043,169.58,86800,Upper,No,No,No,No,No,No,No
"Wolf Creek",Kansas,Wet,NPP,38.2389,-95.6889,185,84.39,5,1827,838.63,2012,923.02,38.243264,-95.687355,0.95,rooftop,"1500 Oxen Ln",,"Burlington, KS 66839",1500,"Oxen Ln",,,Burlington,KS,"Coffey County",66839,US,"Coffey County",2024,99999,20,031,966100,No,S,"Small County",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,65183,51482,119.53,80900,Middle,No,No,No,No,No,No,No
"Duane Arnold",Iowa,Dry/Wet,NPP,42.1006,-91.7772,3648,662.64,60,0,0,3648,662.64,42.100737,-91.777257,1,rooftop,"3277 Daec Rd",,"Palo, IA 52324",3277,"Daec Rd",,,Palo,IA,"Linn County",52324,US,"Statewide IA",2024,16300,19,113,010600,Yes,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,85854,66620,142.03,101700,Upper,No,No,No,No,No,No,No
Zion,Illinois,Dry,NPP,42.4461,-87.8028,2226,1019.41,61,-,-,2226,1019.41,42.449512,-87.803926,0.96,nearest_street,"116 Shiloh Blvd",,"Zion, IL 60099",116,"Shiloh Blvd",,,Zion,IL,"Lake County",60099,US,"TIGER/Line® from the US Census Bureau",2024,29404,17,097,860200,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,112326,92654,54.31,129600,Moderate,No,No,No,No,No,No,No
"Quad Cities",Illinois,Dry/Wet,NPP,41.7264,-90.31,4692,831.74,69,6267,1108.26,10959,1940.00,41.7284,-90.309243,1,nearest_street,"22522 206th Ave N",,"Cordova, IL 61242",22522,"206th Ave N",,,Cordova,IL,"Rock Island County",61242,US,"TIGER/Line® from the US Census Bureau",2024,19340,17,161,020103,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,76902,59876,106.87,89500,Middle,No,No,No,No,No,No,No
"La Salle",Illinois,Dry/Wet,NPP,41.2456,-88.6692,,,,,,,,41.237996,-88.670442,0.91,nearest_street,"2552 N 21st Rd",,"Marseilles, IL 61341",2552,"N 21st Rd",,,Marseilles,IL,"Lasalle County",61341,US,"TIGER/Line® from the US Census Bureau",2024,99999,17,099,963700,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,67835,52827,112.86,82800,Middle,No,Yes,No,No,No,No,Yes
Dresden,Illinois,Dry/Wet,NPP,41.3894,-88.2533,5365,940.8,78,5519,972.86,11884,1913.66,41.392462,-88.250871,0.96,rooftop,"26942 S River Bluff Dr",,"Channahon, IL 60410",26942,"S River Bluff Dr",,,Channahon,IL,"Grundy County",60410,US,Will,2024,16984,17,063,000103,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,92622,74236,101.51,109800,Middle,No,No,No,No,No,No,No
Clinton,Illinois,Wet,NPP,40.1722,-88.835,1602,291,18,2706,492.48,4308,783.48,40.171847,-88.835685,1,rooftop,"8401 Power Rd",,"Clinton, IL 61727",8401,"Power Rd",,,Clinton,IL,"De Witt County",61727,US,Dewitt,2024,99999,17,039,971500,No,S,"Small County",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,67835,52827,115.06,82800,Middle,No,No,No,No,No,No,No
Byron,Illinois,Dry/Wet,NPP,42.0742,-89.2819,1536,647.44,48,2555,1072.78,4091,1720.22,42.074249,-89.27734,0.96,nearest_street,"4117 N German Church Rd",,"Byron, IL 61010",4117,"N German Church Rd",,,Byron,IL,"Ogle County",61010,US,"TIGER/Line® from the US Census Bureau",2024,99999,17,141,961302,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,67835,52827,146.03,82800,Upper,No,No,No,No,No,No,No
Braidwood,Illinois,Dry/Wet,NPP,41.2436,-88.2292,1312,552.14,41,2580,1083.41,3892,1635.55,41.240926,-88.230843,0.97,rooftop,"UTILITY S Rt 53",,"Braceville, IL 60407",UTILITY,"S Rt 53",,,Braceville,IL,"Will County",60407,US,Will,2024,16984,17,197,884004,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,92622,74236,72.03,109800,Moderate,No,No,No,No,No,No,No
Vogtle,Georgia,Dry/Wet,NPP,33.1433,-81.7606,1696,741.98,53,2255,956.23,3951,1698.21,33.1433,-81.7606,0.04,nearest_place,,,"Girard, GA 30426",,,,,Girard,GA,"Burke County",30426,US,"TIGER/Line® dataset from the US Census Bureau",,,,,,,,,,,,,,,,,,,,,,,,,,
Hatch,Georgia,Dry/Wet,NPP,31.9342,-82.3439,6392,1147.39,94,3863,702.64,10255,1850.03,31.923373,-82.35459,0.84,rooftop,"422 Deen Landing Rd",,"Baxley, GA 31513",422,"Deen Landing Rd",,,Baxley,GA,"Appling County",31513,US,"Appling County",2024,99999,13,001,950100,No,S,"Small County",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,55981,44478,120.13,69300,Upper,No,No,No,No,No,No,No
"Turkey Point",Florida,Dry/Wet,NPP,25.4342,-80.3306,1216,553.88,38,2220,1008.19,3436,1562.07,25.435159,-80.331211,1,rooftop,"9700 SW 344th St",,"Homestead, FL 33035",9700,"SW 344th St",,,Homestead,FL,"Miami-Dade County",33035,US,"Miami Dade (CC0 1.0 Miami-Dade County)",2024,33124,12,086,981200,No,T,"Tract record",N,"Tract number occurs within one MA",X,"Total persons/population or median family income is 0",R,Rural,60666,53975,0,79400,Unknown,No,No,No,No,No,No,No
"Saint Lucie",Florida,Dry/Wet,NPP,27.3486,-80.2464,1920,753.02,60,2434,944.89,4354,1697.91,27.347842,-80.246193,1,rooftop,"6501 S Ocean Dr",,"Jensen Beach, FL 34957",6501,"S Ocean Dr",,,"Jensen Beach",FL,"St. Lucie County",34957,US,Loveland,2024,38940,12,111,381702,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",U,Urban,68546,58039,97.01,87800,Middle,No,No,No,No,No,No,No
"Crystal River",Florida,Wet,NPP,28.9575,-82.5633,1243,582.24,39,0,0,1243,582.24,28.957199,-82.563287,1,rooftop,"6538 N Oakfield Pt",,"Dunnellon, FL 34433",6538,"N Oakfield Pt",,,Dunnellon,FL,"Citrus County",34433,US,"Citrus (Citrus County)",2024,26140,12,017,450308,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,57253,45689,167.72,66500,Upper,No,No,No,No,No,No,No
Millstone,Connecticut,Dry/Wet,NPP,41.3119,-72.1686,1568,643.58,49,2071,902.01,3639,1545.59,41.313971,-72.160861,0.93,rooftop,"240 Millstone Rd E",,"Waterford, CT 06385",240,"Millstone Rd E",,,Waterford,CT,"Southeastern Connecticut Planning Region",06385,US,"Connecticut Geospatial Information Systems Council",2024,35980,09,180,693300,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,87992,71261,110.51,105900,Middle,No,No,No,No,No,No,No
"San Onofre",California,Wet,NPP,33.3689,-117.555,3855,1609.36,123,0,0,3855,1609.36,33.370013,-117.55233,0.97,nearest_street,I-5,,"San Clemente, CA 92672",,I-5,,,"San Clemente",CA,"San Diego County",92672,US,"OpenStreetMap Contributors",2024,41740,06,073,018700,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,95623,82426,55.42,119500,Moderate,No,No,No,No,No,No,No
"Diablo Canyon",California,Dry/Wet,NPP,35.2108,-120.8561,1856,809.13,58,2005,847.92,3861,1657.05,35.211882,-120.854642,1,rooftop,"3886 Diablo Canyon Rd",,"Avila Beach, CA 93424",3886,"Diablo Canyon Rd",,,"Avila Beach",CA,"San Luis Obispo County",93424,US,"San Luis Obispo (San Luis Obispo County)",2024,42020,06,079,011600,Yes,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,97590,77948,159.81,125600,Upper,No,No,No,No,No,No,No
"Arkansas Nuclear",Arkansas,Dry/Wet,NPP,35.3103,-93.2314,2752,1209.59,102,1336,609.57,4088,1819.16,35.316516,-93.226827,0.92,rooftop,"1448 State Hwy 333",,"Russellville, AR 72802",1448,"State Hwy 333",,,Russellville,AR,"Pope County",72802,US,"Arkansas Geographic Information Office",2024,99999,05,115,950800,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,53596,42312,136.9,64800,Upper,No,No,No,No,No,No,No
"Palo Verde",Arizona,Dry/Wet,NPP,33.4025,-112.8556,4314,1847.27,170,2511,1092.68,6825,2939.95,33.400726,-112.858564,0.97,nearest_street,"5602 W Palo Verde 4 Entr",,"Tonopah, AZ 85354",5602,"W Palo Verde 4 Entr",,,Tonopah,AZ,"Maricopa County",85354,US,"TIGER/Line® from the US Census Bureau",2024,38060,04,013,050603,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,78930,67068,82.37,101300,Middle,No,No,No,No,No,No,No
Farley,Alabama,Dry/Wet,NPP,31.2231,-85.1133,1824,811.82,57,1984,851.52,3808,1663.34,31.224408,-85.124918,0.89,nearest_street,"7648 State Rte 95",,"Columbia, AL 36319",7648,"State Rte 95",,,Columbia,AL,"Houston County",36319,US,"TIGER/Line® from the US Census Bureau",2024,20020,01,069,041700,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,61627,47608,97.35,77200,Middle,No,No,No,No,No,No,No
"Browns Ferry",Alabama,Dry/Wet,NPP,34.7039,-87.1186,8667,1552.05,108,6483,1180.31,15150,2732.36,34.710658,-87.117357,0.92,nearest_street,"10471 Shaw Rd",,"Athens, AL 35611",10471,"Shaw Rd",,,Athens,AL,"Limestone County",35611,US,"TIGER/Line® from the US Census Bureau",2024,26620,01,083,020404,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,85279,66450,85.85,113600,Middle,No,No,No,No,No,No,No
Lacrosse,Wisconsin,Dry,ISFSI,43.56,-91.2314,333,37.97,5,,,333,37.97,43.559383,-91.230257,1,rooftop,"S4651 State Highway 35",,"Genoa, WI 54632",S4651,"State Highway 35",,,Genoa,WI,"Vernon County",54632,US,"Vernon (Vernon County, Wisconsin Vernon County assumes no responsibility for direct, indirect, special, consequential, exemplary or other damages. The user is responsible for determining the suitability of the information for their particular end use and understands these conditions.)",2024,29100,55,123,960700,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,78648,58993,99.91,97600,Middle,No,No,No,No,No,No,No
Trojan,Oregon,Dry,ISFSI,46.0383,-122.885,790,359.26,34,,,790,359.26,46.037932,-122.889417,0.97,rooftop,"71760 Columbia River Hwy",,"Rainier, OR 97048",71760,"Columbia River Hwy",,,Rainier,OR,"Columbia County",97048,US,"Statewide OR",2024,38900,41,009,970300,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,94727,77511,83.33,116900,Middle,No,No,No,No,No,No,No
"Big Rock Point",Michigan,Dry,ISFSI,45.3589,-85.1972441,441,57.91,7,,,441,57.91,45.361386,-85.20096,0.96,nearest_street,"11501 N PA-Be Shan Trl",,"Charlevoix, MI 49720",11501,"N PA-Be Shan Trl",,,Charlevoix,MI,"Charlevoix County",49720,US,"TIGER/Line® from the US Census Bureau",2024,99999,26,029,000400,No,S,"Small County",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,63042,50885,134.05,78300,Upper,No,No,No,No,No,No,No
"Yankee Row",Massachusetts,Dry,ISFSI,42.7292,-72.9253,533,127.13,15,,,533,127.13,42.727931,-72.929869,0.96,rooftop,"49 Yankee Rd",,"Rowe, MA 01367",49,"Yankee Rd",,,Rowe,MA,"Franklin County",01367,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",2024,99999,25,011,040100,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,86053,65740,82.93,106700,Middle,No,No,No,No,No,No,No
"Maine Yankee",Maine,Dry,ISFSI,43.9506,-69.6958,1434,542.26,60,,,1434,542.26,43.954384,-69.694069,0.96,rooftop,"321 Old Ferry Rd",,"Wiscasset, ME 04578",321,"Old Ferry Rd",,,Wiscasset,ME,"Lincoln County",04578,US,"Maine Office of GIS",2024,99999,23,015,975500,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,66193,51879,108.31,82400,Middle,No,No,No,Yes,No,Yes,Yes
Morris,Illinois,Wet,ISFSI,41.3897,-88.2681,,,,,,,,41.388393,-88.26841,1,nearest_street,"6990 N Dresden Rd",,"Morris, IL 60450",6990,"N Dresden Rd",,,Morris,IL,"Grundy County",60450,US,"TIGER/Line® from the US Census Bureau",2024,16984,17,063,000700,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,92622,74236,85.56,109800,Middle,No,No,No,No,No,No,No
"Haddam Neck",Connecticut,Dry,ISFSI,41.4822,-72.4983,1019,413.66,40,,,1019,413.66,41.482093,-72.498131,1,nearest_street,"296 Canal Rd",,"East Hampton, CT 06424",296,"Canal Rd",,,"East Hampton",CT,"Lower Connecticut River Valley Planning Region",06424,US,"TIGER/Line® from the US Census Bureau",2024,25540,09,130,590101,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,102081,78603,113.91,123800,Middle,No,No,No,No,No,No,No
"Fort St. Vrain",Colorado,Dry,ISFSI,40.2456,-104.8775,,,,,,,,40.245202,-104.877139,1,nearest_street,"16797 County Rd 19 1/2",,"Platteville, CO 80651",16797,"County Rd 19 1/2",,,Platteville,CO,"Weld County",80651,US,"TIGER/Line® from the US Census Bureau",2024,24540,08,123,001800,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,85167,74332,96.69,114500,Middle,No,No,No,No,No,No,No
"Rancho Seco",California,Dry,ISFSI,38.3453,-121.1217,493,228.38,21,,,493,228.38,38.343475,-121.122376,1,rooftop,"14440 Twin Cities Rd",,"Herald, CA 95638",14440,"Twin Cities Rd",,,Herald,CA,"Sacramento County",95638,US,"Sacramento (Sacramento County CC BY 4.0)",2024,40900,06,067,009406,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,90500,75533,129.99,113700,Upper,No,No,No,No,No,No,No
"Humboldt Bay",California,Dry,ISFSI,40.7411,-124.2089,390,28.94,5,,,390,28.94,40.740691,-124.210478,1,rooftop,"1000 King Salmon Ave",,"Eureka, CA 95503",1000,"King Salmon Ave",,,Eureka,CA,"Humboldt County",95503,US,"Humboldt (Humboldt County)",2024,99999,06,023,010702,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,70728,54846,114.87,87900,Middle,No,No,No,No,No,No,No
"Hanford Site",Washington,Dry/Wet,"Government Facility/Multiple",46.6475,-119.5986,,,,,,,,46.6475,-119.5986,0.03,nearest_place,,,"Mattawa, WA 99349",,,,,Mattawa,WA,"Benton County",99349,US,"TIGER/Line® dataset from the US Census Bureau",,,,,,,,,,,,,,,,,,,,,,,,,,
"Oak Ridge Reservation",Tennessee,Wet,"Government Facility/Multiple",35.93,-84.31,,,,,,,,35.931259,-84.310074,1,rooftop,"5200 Bethel Valley Rd",,"Oak Ridge, TN 37830",5200,"Bethel Valley Rd",,,"Oak Ridge",TN,"Roane County",37830,US,"Statewide TN",2024,28940,47,145,980100,No,T,"Tract record",N,"Tract number occurs within one MA",X,"Total persons/population or median family income is 0",R,Rural,71711,56513,0,87700,Unknown,No,No,No,No,No,No,No
"Sandia National Lab","New Mexico",Dry,"Government Facility/Multiple",35.06,-105.5358,,,,,,,,35.06,-105.5358,0.04,nearest_place,,,"Clines Corners, NM 87070",,,,,"Clines Corners",NM,"San Miguel County",87070,US,"TIGER/Line® dataset from the US Census Bureau",,,,,,,,,,,,,,,,,,,,,,,,,,
"Idaho National Lab",Idaho,Dry/Wet,"Government Facility/Multiple",43.52,-112.5986,,,,,,,,43.526079,-112.601772,0.93,rooftop,"Blackfoot, ID, 83221, USA Little Butte Rd",,"Blackfoot, ID 83221","Blackfoot, ID, 83221, USA","Little Butte Rd",,,Blackfoot,ID,"Bingham County",83221,US,"Statewide ID",2024,99999,16,011,950300,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,62251,51026,90.62,78200,Middle,No,No,No,No,No,No,No
