Site,State,Storage,Type,Latitude,Longitude,Dry_Assy,Dry_IU,Casks,Pool_Assy,Pool_IU,Site_Assy,Site_IU,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","HMDA/CRA collection year","MSA/MD Code","FIPS state code","FIPS county code","Census tract","Principal city?","Small county code","Small county description","Split tract code","Split tract description","Demographic data code","Demographic data description","Urban/rural code","Urban/rural description","MSA/MD median family income","MSA/MD median household income","Tract median family income as a percentage of the MSA/MD median family income","FFIEC Estimated MSA/MD median family income","Income indicator","CRA poverty criteria?","CRA unemployment criteria?","CRA distressed criteria?","CRA remote rural (low density) criteria?","Previous year CRA distressed criteria?","Previous year CRA underserved criterion?","Meets at least one of current or previous year's CRA distressed/underserved tract criteria?"
"Watts Bar",Tennessee,Wet,NPP,35.6028,-84.7894,962,443.26,26,790,363.18,1752,806.44,35.602003,-84.789444,1,rooftop,"1270 Nuclear Plant Rd",,"Spring City, TN 37381",1270,"Nuclear Plant Rd",,,"Spring City",TN,"Rhea County",37381,US,"Statewide TN",2024,99999,47,143,975100,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,55998,44765,110.45,69100,Middle,No,No,No,No,No,No,No
Sequoyah,Tennessee,Dry/Wet,NPP,35.2264,-85.0917,2370,1086.12,70,1548,704.19,3918,1790.31,35.226648,-85.092029,1,rooftop,"2600 Igou Ferry Rd",,"Soddy Daisy, TN 37379",2600,"Igou Ferry Rd",,,"Soddy Daisy",TN,"Hamilton County",37379,US,Hamilton,2024,16860,47,065,010304,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,70533,54425,129.86,92100,Upper,No,No,No,No,No,No,No
Summer,"South Carolina",Dry/Wet,NPP,34.2986,-81.3147,444,188.81,12,1256,535.78,1700,724.59,34.297241,-81.317376,0.97,nearest_street,"509 Stairway Rd",,"Jenkinsville, SC 29065",509,"Stairway Rd",,,Jenkinsville,SC,"Fairfield County",29065,US,"TIGER/Line® from the US Census Bureau",2024,17900,45,039,960100,No,S,"Small County",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,71993,56680,94.87,86300,Middle,No,No,No,No,No,No,No
Robinson,"South Carolina",Dry/Wet,NPP,34.4028,-80.1583,800,346.42,39,302,128.6,1102,475.02,34.401471,-80.159067,1,rooftop,"3512 Lakeside Dr",,"Hartsville, SC 29550",3512,"Lakeside Dr",,,Hartsville,SC,"Darlington County",29550,US,Darlington,2024,22500,45,031,010200,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,58215,45037,90.51,75500,Middle,No,No,No,No,No,No,No
Oconee,"South Carolina",Dry/Wet,NPP,34.7939,-82.8981,4080,1907.35,170,1455,695.04,5535,2602.39,34.794653,-82.898301,1,rooftop,"7812 Rochester Hig",,"Seneca, SC 29672",7812,"Rochester Hig",,,Seneca,SC,"Oconee County",29672,US,"Oconee County",2024,99999,45,073,030602,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,53794,40706,141.42,65600,Upper,No,No,No,No,No,No,No
Catawba,"South Carolina",Dry/Wet,NPP,35.0517,-81.07,1686,757.25,54,2076,929.08,3762,1686.33,35.051326,-81.071827,1,rooftop,"4806 Concord Rd",,"York, SC 29745",4806,"Concord Rd",,,York,SC,"York County",29745,US,York,2024,16740,45,091,061708,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,80486,65725,164.25,100300,Upper,No,No,No,No,No,No,No
"Three Mile Island",Pennsylvania,Wet,NPP,40.1539,-76.7247,1663,786.49,46,0,0,1663,786.49,40.151214,-76.72449,0.97,rooftop,"1 Liberty Ln - Northern Part of Tmi Is",,"Middletown, PA 17057",1,"Liberty Ln - Northern Part of Tmi Is",,,Middletown,PA,"Dauphin County",17057,US,Dauphin,2024,25420,42,043,024001,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,84347,67219,87.24,97900,Middle,No,No,No,No,No,No,No
Susqehanna,Pennsylvania,Dry/Wet,NPP,41.0889,-76.1489,7672,1352.67,127,3809,674.47,11481,2027.14,41.088176,-76.147468,1,rooftop,"799 Salem Blvd",,"Berwick, PA 18603",799,"Salem Blvd",,,Berwick,PA,"Luzerne County",18603,US,Luzerne,2024,42540,42,079,216100,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,70003,53853,105.87,83000,Middle,No,No,No,No,No,No,No
"Peach Bottom",Pennsylvania,Dry/Wet,NPP,39.7583,-76.2681,7324,1322.42,104,5478,992.6,12802,2315.02,39.760864,-76.266887,0.77,rooftop,"1848 Lay Rd",,"Drumore, PA 17518",1848,"Lay Rd",,,Drumore,PA,"Lancaster County",17518,US,York,2024,29540,42,071,014502,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,82568,69588,96.42,106700,Middle,No,No,No,No,No,No,No
Limerick,Pennsylvania,Dry/Wet,NPP,40.2267,-75.5872,3889,686.45,61,6166,1118.79,10055,1805.24,40.225447,-75.585638,1,rooftop,"3146 Sanatoga Rd",,"Pottstown, PA 19464",3146,"Sanatoga Rd",,,Pottstown,PA,"Montgomery County",19464,US,Montgomery,2024,33874,42,091,208603,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",U,Urban,117345,95985,91.31,143700,Middle,No,No,No,No,No,No,No
"Beaver Valley",Pennsylvania,Dry/Wet,NPP,40.6233,-80.4306,740,342.16,20,2374,1096.19,3114,1438.35,40.624567,-80.429068,1,rooftop,"990004A Railroad Xing",,"Shippingport, PA 15077",990004A,"Railroad Xing",,,Shippingport,PA,"Beaver County",15077,US,Beaver,2024,38300,42,007,602900,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,81197,61403,112.08,99100,Middle,No,No,No,No,No,No,No
