Site,State,Storage,Type,Latitude,Longitude,Dry_Assy,Dry_IU,Casks,Pool_Assy,Pool_IU,Site_Assy,Site_IU,Urban_Rural
Waterford,Louisiana,Dry/Wet,NPP,29.9953,-90.4711,992.0,415.14,31.0,1254,533.11,2246.0,948.25,Mixed
River Bend,Louisiana,Dry/Wet,NPP,30.756667,-91.333333,2516.0,446.74,37.0,2056,369.1,4572.0,815.84,Rural
Wolf Creek,Kansas,Wet,NPP,38.2389,-95.6889,185.0,84.39,5.0,1827,838.63,2012.0,923.02,Rural
Duane Arnold,Iowa,Dry/Wet,NPP,42.1006,-91.7772,3648.0,662.64,60.0,0,0,3648.0,662.64,Mixed
Zion,Illinois,Dry,NPP,42.4461,-87.8028,2226.0,1019.41,61.0,-,-,2226.0,1019.41,Mixed
Quad Cities,Illinois,Dry/Wet,NPP,41.7264,-90.31,4692.0,831.74,69.0,6267,1108.26,10959.0,1940.00,Rural
La Salle,Illinois,Dry/Wet,NPP,41.2456,-88.6692,,,,,,,,Mixed
Dresden,Illinois,Dry/Wet,NPP,41.3894,-88.2533,5365.0,940.8,78.0,5519,972.86,11884.0,1913.66,Mixed
Clinton,Illinois,Wet,NPP,40.1722,-88.835,1602.0,291.0,18.0,2706,492.48,4308.0,783.48,Mixed
Byron,Illinois,Dry/Wet,NPP,42.0742,-89.2819,1536.0,647.44,48.0,2555,1072.78,4091.0,1720.22,Mixed
Braidwood,Illinois,Dry/Wet,NPP,41.2436,-88.2292,1312.0,552.14,41.0,2580,1083.41,3892.0,1635.55,Mixed
Vogtle,Georgia,Dry/Wet,NPP,33.1433,-81.7606,1696.0,741.98,53.0,2255,956.23,3951.0,1698.21,
Hatch,Georgia,Dry/Wet,NPP,31.9342,-82.3439,6392.0,1147.39,94.0,3863,702.64,10255.0,1850.03,Rural
Turkey Point,Florida,Dry/Wet,NPP,25.4342,-80.3306,1216.0,553.88,38.0,2220,1008.19,3436.0,1562.07,Rural
Saint Lucie,Florida,Dry/Wet,NPP,27.3486,-80.2464,1920.0,753.02,60.0,2434,944.89,4354.0,1697.91,Urban
Crystal River,Florida,Wet,NPP,28.9575,-82.5633,1243.0,582.24,39.0,0,0,1243.0,582.24,Mixed
Millstone,Connecticut,Dry/Wet,NPP,41.3119,-72.1686,1568.0,643.58,49.0,2071,902.01,3639.0,1545.59,Mixed
San Onofre,California,Wet,NPP,33.3689,-117.555,3855.0,1609.36,123.0,0,0,3855.0,1609.36,Mixed
Diablo Canyon,California,Dry/Wet,NPP,35.2108,-120.8561,1856.0,809.13,58.0,2005,847.92,3861.0,1657.05,Mixed
Arkansas Nuclear,Arkansas,Dry/Wet,NPP,35.3103,-93.2314,2752.0,1209.59,102.0,1336,609.57,4088.0,1819.16,Rural
Palo Verde,Arizona,Dry/Wet,NPP,33.4025,-112.8556,4314.0,1847.27,170.0,2511,1092.68,6825.0,2939.95,Rural
Farley,Alabama,Dry/Wet,NPP,31.2231,-85.1133,1824.0,811.82,57.0,1984,851.52,3808.0,1663.34,Rural
Browns Ferry,Alabama,Dry/Wet,NPP,34.7039,-87.1186,8667.0,1552.05,108.0,6483,1180.31,15150.0,2732.36,Rural
Lacrosse,Wisconsin,Dry,ISFSI,43.56,-91.2314,333.0,37.97,5.0,,,333.0,37.97,Mixed
Trojan,Oregon,Dry,ISFSI,46.0383,-122.885,790.0,359.26,34.0,,,790.0,359.26,Mixed
Big Rock Point,Michigan,Dry,ISFSI,45.3589,-85.1972441,441.0,57.91,7.0,,,441.0,57.91,Mixed
Yankee Row,Massachusetts,Dry,ISFSI,42.7292,-72.9253,533.0,127.13,15.0,,,533.0,127.13,Rural
Maine Yankee,Maine,Dry,ISFSI,43.9506,-69.6958,1434.0,542.26,60.0,,,1434.0,542.26,Rural
Morris,Illinois,Wet,ISFSI,41.3897,-88.2681,,,,,,,,Mixed
Haddam Neck,Connecticut,Dry,ISFSI,41.4822,-72.4983,1019.0,413.66,40.0,,,1019.0,413.66,Mixed
Fort St. Vrain,Colorado,Dry,ISFSI,40.2456,-104.8775,,,,,,,,Rural
Rancho Seco,California,Dry,ISFSI,38.3453,-121.1217,493.0,228.38,21.0,,,493.0,228.38,Rural
Humboldt Bay,California,Dry,ISFSI,40.7411,-124.2089,390.0,28.94,5.0,,,390.0,28.94,Mixed
Hanford Site,Washington,Dry/Wet,Government Facility/Multiple,46.6475,-119.5986,,,,,,,,
Oak Ridge Reservation,Tennessee,Wet,Government Facility/Multiple,35.93,-84.31,,,,,,,,Rural
Sandia National Lab,New Mexico,Dry,Government Facility/Multiple,35.06,-105.5358,,,,,,,,
Idaho National Lab,Idaho,Dry/Wet,Government Facility/Multiple,43.52,-112.5986,,,,,,,,Rural
