606,query_coords,latitude,longitude,formatted_address,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacificislander_percent,native_percent
26,"43.2778,-77.31",43.272625,-77.309995,"1491 Lake Rd, Ontario, NY 14519",36,36117,020103,1013,3.6117E+14,1099,0.975,286800,111875,49.4,2732,0.476,0.524,0.977,0.023,0.954,0.024,0,0,0
27,"43.5233,-76.3983",43.521832,-76.395782,"268 Lake Rd, Oswego, NY 13126",36,36075,021504,1002,3.6075E+14,440,0.698,91400,54554,38.5,604,0.374,0.626,0.993,0.007,0.973,0,0.027,0,0
28,"39.8147,-74.205",39.815159,-74.204636,"804 S Main St, Forked River, NJ 08731",34,34029,732004,1065,3.40297E+14,944,0.912,318300,81943,49,1905,0.431,0.569,0.876,0.124,0.978,0,0,0,0
29,"39.4678,-75.5381",39.4678,-75.5381,"Port Penn, DE 19731",34,34033,022201,1023,3.4033E+14,,1,"388,500","95,287",66.3,477,0.417,0.583,1,0,1,0,0,0,0
30,"42.8989,-70.8508",42.89902,-70.849848,"626 Lafayette Rd, Seabrook, NH 03874",33,33015,063003,2001,3.30151E+14,427,1,360000,56995,38.3,1016,0.535,0.465,1,0,1,0,0,0,0
31,"41.5203,-96.077222",41.512401,-96.082135,"9201 US-75, Blair, NE 68008",31,31177,050202,1002,3.11771E+14,601,0.975,367100,124352,42.6,1528,0.531,0.469,0.955,0.045,0.95,0,0,0,0
32,"38.761667,-91.78",38.761848,-91.797294,"8056 State Rd Cc, Steedman, MO 65077",29,29027,070200,3100,2.90271E+14,628,0.559,177400,61382,45.7,753,0.535,0.465,1,0,0.931,0,0,0,0.025
33,"44.6217,-92.6331",44.617336,-92.639613,"5200 Lock And Dam Rd, Welch, MN 55089",27,27049,080202,3116,2.70491E+14,536,0.95,205900,49280,44.8,1062,0.462,0.538,0.914,0.086,0.728,0,0.004,0,0.232
34,"45.3336,-93.8492",45.334055,-93.849097,"2807 County Road 75 W, Monticello, MN 55362",27,27171,100203,1009,2.71711E+14,197,1,321800,86495,33.9,616,0.583,0.417,1,0,0.998,0.002,0,0,0
35,"41.9628,-83.2575",41.962229,-83.259565,"6400 N Dixie Hwy, Newport, MI 48166",26,26115,831202,3003,2.61158E+14,9623,0.917,"193,100",65085,40.2,"21,626",0.524,0.476,0.952,0.048,0.889,0.019,0.003,0.001,0
36,"41.975556,-86.565278",41.970386,-86.568843,"4685 Livingston Rd, Bridgman, MI 49106",26,26021,011101,1007,2.6021E+14,660,0.314,420600,117813,48.8,534,0.515,0.485,1,0,0.963,0,0,0,0
37,"41.945,-70.5783",41.944183,-70.578501,"600 Rocky Hill Rd, Plymouth, MA 02360",25,25023,530700,1009,2.50235E+14,939,0.711,446900,97844,73.1,1262,0.433,0.567,1,0,0.998,0,0,0,0
38,"38.4319,-76.4422",38.432278,-76.44594,"500 Camp Convoy Rd, Lusby, MD 20657",24,24009,861100,1055,2.40099E+14,1788,0.857,387400,132768,39,4491,0.53,0.47,0.992,0.008,0.882,0.026,0.038,0,0
39,"29.9953,-90.4711",29.996466,-90.470888,"17405 River Rd, Killona, LA 70057",22,22089,062700,2049,2.20891E+14,229,0.515,181800,"68,714",40.7,548,0.708,0.292,0.942,0.058,0.266,0.717,0,0,0
40,"30.756667,-91.333333",30.758735,-91.331454,"3947 Rbs Access Rd, Saint Francisville, LA 70775",22,22125,951803,1030,2.2126E+14,220,0.641,778100,250001,38.9,408,0.537,0.463,1,0,1,0,0,0,0
41,"42.1006,-91.7772",42.100737,-91.777257,"3277 Daec Rd, Palo, IA 52324",19,19113,010600,1033,1.9113E+14,878,0.912,346800,86023,49.4,2211,0.529,0.471,1,0,0.95,0.004,0.009,0,0
42,"42.4461,-87.8028",42.449721,-87.804671,"199 Shiloh Blvd, Zion, IL 60099",17,17097,860104,2054,1.70979E+14,559,0.962,147200,61667,51.9,953,0.502,0.498,0.974,0.026,0.947,0.019,0,0,0
43,"41.7264,-90.31",41.728535,-90.309811,"22500 206th Ave N, Cordova, IL 61242",17,17161,020103,1006,1.7161E+14,423,0.927,219000,82500,50.8,848,0.533,0.467,0.983,0.017,0.962,0,0.017,0,0
44,"41.2456,-88.6692",41.238185,-88.667306,"2567 N 21st Rd, Marseilles, IL 61341",17,17099,963700,4116,1.71E+14,420,0.988,265500,91075,41.7,1019,0.518,0.482,1,0,0.995,0,0,0,0
45,"41.3894,-88.2533",41.392678,-88.25119,"26960 S River Bluff Rd, Minooka, IL 60447",17,17063,000103,4002,1.7063E+14,603,1,359700,117188,36.2,1794,0.492,0.508,0.851,0.149,0.988,0,0,0,0.005
46,"42.0742,-89.2819",42.077104,-89.277259,"4000 N German Church Rd, Byron, IL 61010",17,17141,961302,2029,1.7142E+14,354,0.96,228800,107385,53.4,959,0.454,0.546,1,0,0.925,0.075,0,0,0
47,"41.2436,-88.2292",41.245833,-88.234673,"35132 State Rte 53, Braceville, IL 60407",17,17197,884004,2020,1.71979E+14,720,0.969,218200,79865,52.3,1692,0.564,0.436,0.969,0.031,0.979,0,0.004,0,0
48,"33.1433,-81.7606",33.126028,-81.755197,"8801 River Rd, Waynesboro, GA 30830",13,13033,950102,2032,1.3034E+14,567,0.933,97400,85075,58,1165,0.523,0.477,1,0,0.627,0.303,0,0,0
49,"25.4342,-80.3306",25.435159,-80.331211,"9700 SW 344th St, Homestead, FL 33035",12,12086,981200,1015,1.2087E+14,"41,960",0.95,"357,800",61130,33,"132,406",0.5,0.5,0.309,0.691,0.095,0.185,0.003,0,0.002
50,"27.3486,-80.2464",27.347842,-80.246193,"6501 S Ocean Dr, Jensen Beach, FL 34957",12,12111,381702,1000,1.21114E+14,463,0.408,263400,58295,67.8,298,0.43,0.57,1,0,0.95,0,0,0,0
51,"28.9575,-82.5633",28.957199,-82.563287,"6538 N Oakfield Pt, Dunnellon, FL 34433",12,12017,450308,3006,1.20175E+14,1219,0.897,343000,94353,54.4,2992,0.467,0.533,0.961,0.039,0.958,0.027,0.015,0,0
52,"41.3119,-72.1686",41.314931,-72.159454,"11 Gun Shot Rd, Waterford, CT 06385",09,09180,693300,3041,091806933003041,858,0.756,326400,94141,57.3,1410,0.482,0.518,0.977,0.023,0.925,0.004,0.041,0,0
53,"33.3689,-117.555",33.370736,-117.552793,"I-5, San Clemente, CA 92672",06,06073,018700,1266,060730187001266,7856,0.89,,62998,21.6,40481,0.691,0.309,0.657,0.343,0.7,0.126,0.064,0.006,0.018
