606,query_coords,latitude,longitude,formatted_address,state_abbrev,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacificislander_percent,native_percent
22,"35.4325,-80.9483",35.432308,-80.948533,"12700 Hagers Ferry Rd, Huntersville, NC 28078",NC,37,37119,006220,1014,3.7119E+14,742.00,0.89,761500.00,131010.00,54.90,1424.00,0.47,0.53,0.97,0.03,0.87,0.00,0.03,0.00,0.00
23,"33.9583,-78.0103",33.958782,-78.009959,"8470 River Rd, Southport, NC 28461",NC,37,37019,020306,1009,3.7019E+14,459.00,0.77,403700.00,68875.00,62.80,729.00,0.38,0.62,0.99,0.01,0.80,0.13,0.00,0.00,0.00
24,"43.5208,-76.4069",43.521247,-76.404261,"348 Lake Rd, Oswego, NY 13126",NY,36,36075,021504,1008,3.6075E+14,440.00,0.70,91400.00,54554.00,38.50,604.00,0.37,0.63,0.99,0.01,0.97,0.00,0.03,0.00,0.00
25,"41.2697,-73.9522",41.265853,-73.947092,"423 Broadway, Verplanck, NY 10596",NY,36,36119,014000,1006,3.6119E+14,596.00,0.96,514900.00,135811.00,46.00,1456.00,0.44,0.56,0.88,0.12,0.73,0.14,0.02,0.00,0.00
26,"43.2778,-77.31",43.272625,-77.309995,"1491 Lake Rd, Ontario, NY 14519",NY,36,36117,020103,1013,3.6117E+14,1099.00,0.98,286800.00,111875.00,49.40,2732.00,0.48,0.52,0.98,0.02,0.95,0.02,0.00,0.00,0.00
27,"43.5233,-76.3983",43.521832,-76.395782,"268 Lake Rd, Oswego, NY 13126",NY,36,36075,021504,1002,3.6075E+14,440.00,0.70,91400.00,54554.00,38.50,604.00,0.37,0.63,0.99,0.01,0.97,0.00,0.03,0.00,0.00
28,"39.8147,-74.205",39.815159,-74.204636,"804 S Main St, Forked River, NJ 08731",NJ,34,34029,732004,1065,3.40297E+14,944.00,0.91,318300.00,81943.00,49.00,1905.00,0.43,0.57,0.88,0.12,0.98,0.00,0.00,0.00,0.00
29,"39.4678,-75.5381",39.4678,-75.5381,"Port Penn, DE 19731",NJ,34,34033,022201,1023,3.4033E+14,,1.00,388500.00,95287.00,66.30,477.00,0.42,0.58,1.00,0.00,1.00,0.00,0.00,0.00,0.00
30,"42.8989,-70.8508",42.89902,-70.849848,"626 Lafayette Rd, Seabrook, NH 03874",NH,33,33015,063003,2001,3.30151E+14,427.00,1.00,360000.00,56995.00,38.30,1016.00,0.54,0.47,1.00,0.00,1.00,0.00,0.00,0.00,0.00
31,"41.5203,-96.077222",41.512401,-96.082135,"9201 US-75, Blair, NE 68008",NE,31,31177,050202,1002,3.11771E+14,601.00,0.98,367100.00,124352.00,42.60,1528.00,0.53,0.47,0.96,0.05,0.95,0.00,0.00,0.00,0.00
32,"38.761667,-91.78",38.761848,-91.797294,"8056 State Rd Cc, Steedman, MO 65077",MO,29,29027,070200,3100,2.90271E+14,628.00,0.56,177400.00,61382.00,45.70,753.00,0.54,0.47,1.00,0.00,0.93,0.00,0.00,0.00,0.03
33,"44.6217,-92.6331",44.617336,-92.639613,"5200 Lock And Dam Rd, Welch, MN 55089",MN,27,27049,080202,3116,2.70491E+14,536.00,0.95,205900.00,49280.00,44.80,1062.00,0.46,0.54,0.91,0.09,0.73,0.00,0.00,0.00,0.23
34,"45.3336,-93.8492",45.334055,-93.849097,"2807 County Road 75 W, Monticello, MN 55362",MN,27,27171,100203,1009,2.71711E+14,197.00,1.00,321800.00,86495.00,33.90,616.00,0.58,0.42,1.00,0.00,1.00,0.00,0.00,0.00,0.00
35,"41.9628,-83.2575",41.962229,-83.259565,"6400 N Dixie Hwy, Newport, MI 48166",MI,26,26115,831202,3003,2.61158E+14,9623.00,0.92,193100.00,65085.00,40.20,21626.00,0.52,0.48,0.95,0.05,0.89,0.02,0.00,0.00,0.00
36,"41.975556,-86.565278",41.970386,-86.568843,"4685 Livingston Rd, Bridgman, MI 49106",MI,26,26021,011101,1007,2.6021E+14,660.00,0.31,420600.00,117813.00,48.80,534.00,0.52,0.49,1.00,0.00,0.96,0.00,0.00,0.00,0.00
37,"41.945,-70.5783",41.944183,-70.578501,"600 Rocky Hill Rd, Plymouth, MA 02360",MA,25,25023,530700,1009,2.50235E+14,939.00,0.71,446900.00,97844.00,73.10,1262.00,0.43,0.57,1.00,0.00,1.00,0.00,0.00,0.00,0.00
38,"38.4319,-76.4422",38.432278,-76.44594,"500 Camp Convoy Rd, Lusby, MD 20657",MD,24,24009,861100,1055,2.40099E+14,1788.00,0.86,387400.00,132768.00,39.00,4491.00,0.53,0.47,0.99,0.01,0.88,0.03,0.04,0.00,0.00
39,"29.9953,-90.4711",29.996466,-90.470888,"17405 River Rd, Killona, LA 70057",LA,22,22089,062700,2049,2.20891E+14,229.00,0.52,181800.00,68714.00,40.70,548.00,0.71,0.29,0.94,0.06,0.27,0.72,0.00,0.00,0.00
40,"30.756667,-91.333333",30.758735,-91.331454,"3947 Rbs Access Rd, Saint Francisville, LA 70775",LA,22,22125,951803,1030,2.2126E+14,220.00,0.64,778100.00,250001.00,38.90,408.00,0.54,0.46,1.00,0.00,1.00,0.00,0.00,0.00,0.00
41,"42.1006,-91.7772",42.100737,-91.777257,"3277 Daec Rd, Palo, IA 52324",IA,19,19113,010600,1033,1.9113E+14,878.00,0.91,346800.00,86023.00,49.40,2211.00,0.53,0.47,1.00,0.00,0.95,0.00,0.01,0.00,0.00
42,"42.4461,-87.8028",42.449721,-87.804671,"199 Shiloh Blvd, Zion, IL 60099",IL,17,17097,860104,2054,1.70979E+14,559.00,0.96,147200.00,61667.00,51.90,953.00,0.50,0.50,0.97,0.03,0.95,0.02,0.00,0.00,0.00
43,"41.7264,-90.31",41.728535,-90.309811,"22500 206th Ave N, Cordova, IL 61242",IL,17,17161,020103,1006,1.7161E+14,423.00,0.93,219000.00,82500.00,50.80,848.00,0.53,0.47,0.98,0.02,0.96,0.00,0.02,0.00,0.00
44,"41.2456,-88.6692",41.238185,-88.667306,"2567 N 21st Rd, Marseilles, IL 61341",IL,17,17099,963700,4116,1.71E+14,420.00,0.99,265500.00,91075.00,41.70,1019.00,0.52,0.48,1.00,0.00,1.00,0.00,0.00,0.00,0.00
45,"41.3894,-88.2533",41.392678,-88.25119,"26960 S River Bluff Rd, Minooka, IL 60447",IL,17,17063,000103,4002,1.7063E+14,603.00,1.00,359700.00,117188.00,36.20,1794.00,0.49,0.51,0.85,0.15,0.99,0.00,0.00,0.00,0.01
46,"42.0742,-89.2819",42.077104,-89.277259,"4000 N German Church Rd, Byron, IL 61010",IL,17,17141,961302,2029,1.7142E+14,354.00,0.96,228800.00,107385.00,53.40,959.00,0.45,0.55,1.00,0.00,0.93,0.08,0.00,0.00,0.00
47,"41.2436,-88.2292",41.245833,-88.234673,"35132 State Rte 53, Braceville, IL 60407",IL,17,17197,884004,2020,1.71979E+14,720.00,0.97,218200.00,79865.00,52.30,1692.00,0.56,0.44,0.97,0.03,0.98,0.00,0.00,0.00,0.00
48,"33.1433,-81.7606",33.126028,-81.755197,"8801 River Rd, Waynesboro, GA 30830",GA,13,13033,950102,2032,1.3034E+14,567.00,0.93,97400.00,85075.00,58.00,1165.00,0.52,0.48,1.00,0.00,0.63,0.30,0.00,0.00,0.00
49,"25.4342,-80.3306",25.435159,-80.331211,"9700 SW 344th St, Homestead, FL 33035",FL,12,12086,981200,1015,1.2087E+14,41960.00,0.95,357800.00,61130.00,33.00,132406.00,0.50,0.50,0.31,0.69,0.10,0.19,0.00,0.00,0.00
50,"27.3486,-80.2464",27.347842,-80.246193,"6501 S Ocean Dr, Jensen Beach, FL 34957",FL,12,12111,381702,1000,1.21114E+14,463.00,0.41,263400.00,58295.00,67.80,298.00,0.43,0.57,1.00,0.00,0.95,0.00,0.00,0.00,0.00
51,"28.9575,-82.5633",28.957199,-82.563287,"6538 N Oakfield Pt, Dunnellon, FL 34433",FL,12,12017,450308,3006,1.20175E+14,1219.00,0.90,343000.00,94353.00,54.40,2992.00,0.47,0.53,0.96,0.04,0.96,0.03,0.02,0.00,0.00
52,"41.3119,-72.1686",41.314931,-72.159454,"11 Gun Shot Rd, Waterford, CT 06385",CT,09,09180,693300,3041,091806933003041,858.00,0.76,326400.00,94141.00,57.30,1410.00,0.48,0.52,0.98,0.02,0.93,0.00,0.04,0.00,0.00
53,"33.3689,-117.555",33.370736,-117.552793,"I-5, San Clemente, CA 92672",CA,06,06073,018700,1266,060730187001266,7856.00,0.89,,62998.00,21.60,40481.00,0.69,0.31,0.66,0.34,0.70,0.13,0.06,0.01,0.02
54,"35.2108,-120.8561",35.211882,-120.854642,"3886 Diablo Canyon Rd, San Luis Obispo, CA 93405",CA,06,06079,011600,2049,060790116002049,596.00,0.88,1958300.00,162375.00,53.80,1238.00,0.59,0.41,0.98,0.02,0.99,0.00,0.00,0.00,0.00
55,"35.3103,-93.2314",35.310484,-93.240532,"1238 Flatwood Rd, London, AR 72847",AR,05,05115,950800,1095,051159508001095,1114.00,0.90,205500.00,67063.00,47.60,2412.00,0.47,0.53,0.97,0.03,0.97,0.00,0.01,0.00,0.00
56,"33.4025,-112.8556",33.400441,-112.858636,"5625 W Palo Verde 4 Entr, Tonopah, AZ 85354",AZ,04,04013,050603,2066,040130506032066,956.00,0.95,260000.00,68843.00,35.40,2783.00,0.55,0.45,0.67,0.33,0.96,0.01,0.00,0.00,0.02
57,"31.2231,-85.1133",31.226661,-85.124446,"7747 State Hwy 95, Columbia, AL 36319",AL,01,01069,041700,2063,010690417002063,218.00,0.90,140600.00,67344.00,45.80,505.00,0.51,0.49,1.00,0.00,0.79,0.21,0.00,0.00,0.00
